"movieid";"rank";"votes";"distribution"
1847048;"7.8";56119;"0000001222"
1847051;"6.5";1928;"0000012111"
1847080;"8.0";123964;"0000001221"
1847235;"6.1";2278;"0000122100"
1847595;"7.0";9391;"0000012212"
1847692;"5.4";2141;"0001111001"
1847699;"4.2";1252;"0012110000"
1847722;"7.6";39800;"0000002211"
1847739;"6.1";26678;"0000122100"
1848628;"5.7";43436;"0000221000"
1848859;"6.9";3828;"0000012111"
1849147;"7.7";111117;"0000001311"
1849156;"6.8";1248;"0000023200"
1850182;"8.4";111003;"0000001222"
1851750;"4.1";546;"1011110000"
1851871;"6.7";443;"0000012211"
1852854;"5.2";1476;"0000111001"
1852976;"5.2";205;"0001211000"
1853052;"5.8";613;"0000101101"
